assignment,id,date,time1,ampm
3,31,4/14/2011,9:17,AM
3,3,4/14/2011,9:20,AM
3,12,4/14/2011,11:53,AM
3,49,4/14/2011,2:25,PM
4,prof,4/18/2011,9:53,AM
4,7,4/19/2011,6:01,PM
4,18,4/19/2011,9:26,PM
4,19,4/20/2011,12:23,AM
4,61,4/20/2011,12:29,AM
4,11,4/20/2011,10:28,AM
4,2,4/20/2011,11:15,AM
4,42,4/20/2011,6:17,PM
4,20,4/20/2011,6:27,PM
4,57,4/20/2011,6:28,PM
4,50,4/20/2011,9:16,PM
4,22,4/20/2011,9:44,PM
4,34,4/20/2011,9:55,PM
4,28,4/20/2011,10:27,PM
4,16,4/20/2011,10:44,PM
4,16,4/20/2011,10:46,PM
4,30,4/20/2011,11:12,PM
4,54,4/20/2011,11:40,PM
4,10,4/21/2011,12:00,AM
4,38,4/21/2011,12:02,AM
4,8,4/21/2011,12:18,AM
4,32,4/21/2011,12:21,AM
4,29,4/21/2011,12:22,AM
4,39,4/21/2011,12:52,AM
4,24,4/21/2011,12:54,AM
4,46,4/21/2011,1:07,AM
4,63,4/21/2011,1:12,AM
4,51,4/21/2011,1:49,AM
4,35,4/21/2011,2:17,AM
4,43,4/21/2011,3:03,AM
4,17,4/21/2011,3:17,AM
4,59,4/21/2011,3:24,AM
4,33,4/21/2011,3:43,AM
4,5,4/21/2011,3:56,AM
4,6,4/21/2011,4:05,AM
4,9,4/21/2011,4:33,AM
4,25,4/21/2011,4:58,AM
4,62,4/21/2011,5:23,AM
4,56,4/21/2011,6:55,AM
4,60,4/21/2011,8:19,AM
4,53,4/21/2011,8:32,AM
4,37,4/21/2011,8:33,AM
4,40,4/21/2011,8:35,AM
4,58,4/21/2011,8:35,AM
4,48,4/21/2011,8:41,AM
4,45,4/21/2011,8:54,AM
4,47,4/21/2011,8:56,AM
4,41,4/21/2011,8:57,AM
4,41,4/21/2011,8:59,AM
4,60,4/21/2011,9:00,AM
4,49,4/21/2011,9:01,AM
4,31,4/21/2011,9:07,AM
4,52,4/21/2011,9:20,AM
4,4,4/21/2011,10:57,AM
4,55,4/21/2011,11:38,AM
4,12,4/21/2011,11:57,AM
4,21,4/21/2011,1:16,PM
4,13,4/21/2011,2:04,PM
4,14,4/21/2011,10:20,PM
5,prof,4/25/2011,4:31,PM
5,2,4/26/2011,6:40,PM
5,18,4/26/2011,7:28,PM
5,20,4/26/2011,9:56,PM
5,37,4/27/2011,1:45,AM
5,34,4/27/2011,1:13,PM
5,22,4/27/2011,1:18,PM
5,61,4/27/2011,2:55,PM
5,11,4/27/2011,3:46,PM
5,39,4/27/2011,4:16,PM
5,30,4/27/2011,4:29,PM
5,30,4/27/2011,4:30,PM
5,17,4/27/2011,4:44,PM
5,5,4/27/2011,5:04,PM
5,16,4/27/2011,5:17,PM
5,10,4/27/2011,6:05,PM
5,54,4/27/2011,7:51,PM
5,14,4/27/2011,7:59,PM
5,48,4/27/2011,8:24,PM
5,50,4/27/2011,8:31,PM
